# mlight/eV delta
1.000000000000000021e-02 9.181107795590304557e-03
1.274274985703133418e-02 1.327271843113273647e-02
1.623776739188721729e-02 1.894535167495776939e-02
2.069138081114790112e-02 2.658764482486090930e-02
2.636650898730358294e-02 3.705991839149180150e-02
3.359818286283781236e-02 5.060979820889861813e-02
4.281332398719393806e-02 6.890490253145836741e-02
5.455594781168519869e-02 9.312936212328203067e-02
6.951927961775605791e-02 1.258648950232425234e-01
8.858667904100822610e-02 1.712931251017433543e-01
1.128837891684688899e-01 2.370572882002436876e-01
1.438449888287662848e-01 3.363504919891248113e-01
1.832980710832435578e-01 4.910474255440667735e-01
2.335721469090121238e-01 7.391577683318549807e-01
2.976351441631317485e-01 1.143733030162378927e+00
3.792690190732249667e-01 1.807507101597837451e+00
4.832930238571752080e-01 2.894450376077165377e+00
6.158482110660260522e-01 4.661670058038436260e+00
7.847599703514610558e-01 7.508737219102902927e+00
1.000000000000000000e+00 1.204986042487589870e+01
