# mlight/eV Tf delta
1.000000000000000021e-02 6.299605249474365953e-01 1.817723704315575908e-02
1.172102297533480011e-02 6.642045433492650419e-01 2.356523526512096720e-02
1.373823795883262998e-02 7.003100320335412521e-01 3.012574487173090565e-02
1.610262027560939099e-02 7.383781786462876306e-01 3.820607627594424516e-02
1.887391822135097569e-02 7.785156712918497313e-01 4.773516614632589833e-02
2.212216291070449176e-02 8.208349975322588588e-01 5.898935172348425404e-02
2.592943797404666934e-02 8.654547596399001508e-01 7.226085841314834612e-02
3.039195382313197857e-02 9.125000069869966257e-01 8.792113618425831389e-02
3.562247890262442568e-02 9.621025865034491531e-01 1.055883907294395269e-01
4.175318936560400152e-02 1.014401512185212795e+00 1.269549278672807979e-01
4.893900918477493700e-02 1.069543354688775372e+00 1.537166901922095430e-01
5.736152510448678382e-02 1.127682652103596528e+00 1.889052771437120803e-01
6.723357536499334486e-02 1.188982343053724522e+00 2.377870280367966604e-01
7.880462815669912746e-02 1.253614223342379708e+00 3.090724872281276903e-01
9.236708571873861184e-02 1.321759427419273658e+00 4.185390399038139142e-01
1.082636733874054596e-01 1.393608936020011235e+00 5.892967963078596938e-01
1.268961003167922152e-01 1.469364111400252471e+00 8.597264267927093861e-01
1.487352107293511139e-01 1.549237261664667908e+00 1.285878968338772799e+00
1.743328822199988193e-01 1.633452235772243855e+00 1.958433563511223996e+00
2.043359717856941815e-01 1.722245050885476303e+00 3.006543513454600802e+00
2.395026619987485894e-01 1.815864553821634697e+00 4.627790448230107323e+00
2.807216203941176880e-01 1.914573118459846901e+00 7.109046578196558386e+00
3.290344562312667587e-01 2.018647381058532364e+00 1.087046399797565321e+01
3.856620421163472479e-01 2.128379015543945929e+00 1.651605124661822899e+01
4.520353656360243111e-01 2.244075550942626673e+00 2.491897181128977223e+01
5.298316906283707661e-01 2.366061233248648144e+00 3.733318522388542249e+01
6.210169418915616468e-01 2.494677934141105613e+00 5.556850790228202186e+01
7.278953843983150263e-01 2.630286109098562974e+00 8.223719698758856111e+01
8.531678524172805478e-01 2.773265807595640009e+00 1.211005717595922562e+02
1.000000000000000000e+00 2.924017738212866035e+00 1.775304802238021011e+02
