# mlight/eV Tf delta
1.000000000000000021e-02 9.085602964160698347e-01 1.821823699554687634e-02
1.274274985703133418e-02 9.850118920385995125e-01 2.521398316774220438e-02
1.623776739188721729e-02 1.067896573606318178e+00 3.406319546665255438e-02
2.069138081114790112e-02 1.157755658726022485e+00 4.498560805892187764e-02
2.636650898730358294e-02 1.255176014644903137e+00 5.974621299754499099e-02
3.359818286283781236e-02 1.360793891064616457e+00 8.048643999870302990e-02
4.281332398719393806e-02 1.475299075470824395e+00 1.163115906352558127e-01
5.455594781168519869e-02 1.599439398116550448e+00 1.842706029828149183e-01
6.951927961775605791e-02 1.734025616081275922e+00 3.221334400501252304e-01
8.858667904100822610e-02 1.879936708303430848e+00 6.067019484101007221e-01
1.128837891684688899e-01 2.038125616167996146e+00 1.188906251827892557e+00
1.438449888287662848e-01 2.209625467140835742e+00 2.356049412457954517e+00
1.832980710832435578e-01 2.395556322096151103e+00 4.639868553247110228e+00
2.335721469090121238e-01 2.597132490403663674e+00 9.002533594745436574e+00
2.976351441631317485e-01 2.815670460550168563e+00 1.714873613961821164e+01
3.792690190732249667e-01 3.052597498090124706e+00 3.206072054038382646e+01
4.832930238571752080e-01 3.309460967078273086e+00 5.894415141294054905e+01
6.158482110660260522e-01 3.587938435862301656e+00 1.069077464034663478e+02
7.847599703514610558e-01 3.889848633236215214e+00 1.917739314402944615e+02
1.000000000000000000e+00 4.217163326508745591e+00 3.403562635959136173e+02
