# mlight/meV nloc/cm-3 sensitivity
3.999999999999999289e+01 5.000000000000000888e+00 0.000000000000000000e+00
4.224291601598521595e+01 5.000000000000000888e+00 0.000000000000000000e+00
4.461159883833951767e+01 5.000000000000000888e+00 0.000000000000000000e+00
4.711310057666997864e+01 5.000000000000000888e+00 0.000000000000000000e+00
4.975486877282337161e+01 5.000000000000000888e+00 0.000000000000000000e+00
5.254476857391858857e+01 5.000000000000000888e+00 0.000000000000000000e+00
5.549110614868556723e+01 5.000000000000000888e+00 0.000000000000000000e+00
5.860265341682614348e+01 5.000000000000000888e+00 0.000000000000000000e+00
6.188867416502187524e+01 5.000000000000000888e+00 0.000000000000000000e+00
6.535895162734233566e+01 5.000000000000000888e+00 0.000000000000000000e+00
6.902381761216658163e+01 5.000000000000000888e+00 0.000000000000000000e+00
7.289418326233582945e+01 5.000000000000000888e+00 0.000000000000000000e+00
7.698157154011721559e+01 5.000000000000000888e+00 0.000000000000000000e+00
8.129815153369324321e+01 5.000000000000000888e+00 0.000000000000000000e+00
8.585677468731610418e+01 5.000000000000000888e+00 0.000000000000000000e+00
9.067101306299150565e+01 5.000000000000000888e+00 0.000000000000000000e+00
9.575519974760622688e+01 5.000000000000000888e+00 0.000000000000000000e+00
1.011244715258004874e+02 5.000000000000000888e+00 0.000000000000000000e+00
1.067948139456319865e+02 5.000000000000000888e+00 0.000000000000000000e+00
1.127831089112023761e+02 5.000000000000000888e+00 0.000000000000000000e+00
1.191071849439409220e+02 5.000000000000000888e+00 2.168375633305933969e-01
1.257858702621828968e+02 5.000000000000000888e+00 0.000000000000000000e+00
1.328390488370751541e+02 5.000000000000000888e+00 3.645943349165342018e-01
1.402877195916981350e+02 5.000000000000000888e+00 3.159896114804509049e-01
1.481540589196547160e+02 5.000000000000000888e+00 4.327192796716382017e-01
1.564614867092575139e+02 5.000000000000000888e+00 4.465930651167054344e-01
1.652347360698838656e+02 5.000000000000000888e+00 4.279905634379229107e-01
1.744999269680897100e+02 5.000000000000000888e+00 2.993455349201622484e-01
1.842846439927140239e+02 5.000000000000000888e+00 4.444986933105813942e-01
1.946180184804988755e+02 5.000000000000000888e+00 4.185638717508741724e-01
2.055308152467293610e+02 5.000000000000000888e+00 4.068628650172099737e-01
2.170555241791140872e+02 5.000000000000000888e+00 5.005069013946562562e-01
2.292264569675991766e+02 5.000000000000000888e+00 5.229610940354045834e-01
2.420798492581035646e+02 5.000000000000000888e+00 3.983850084035099881e-01
2.556539685343107919e+02 5.000000000000000888e+00 3.918451697010734147e-01
2.699892280487055132e+02 5.000000000000000888e+00 3.074315353465788547e-01
2.851283071420536999e+02 5.000000000000000888e+00 4.933747857170365791e-01
3.011162783095450663e+02 5.000000000000000888e+00 4.009350992524499668e-01
3.180007413919036594e+02 5.000000000000000888e+00 4.063460004430954897e-01
3.358319652909805768e+02 5.000000000000000888e+00 4.653357389757645790e-01
3.546630376317539231e+02 5.000000000000000888e+00 4.156279290255885939e-01
3.745500228163097063e+02 5.000000000000000888e+00 4.891746978669823664e-01
3.955521289403679930e+02 5.000000000000000888e+00 4.525429915813898862e-01
4.177318840693031348e+02 5.000000000000000888e+00 4.829786256808579203e-01
4.411553223984707301e+02 5.000000000000000888e+00 4.760524136957313690e-01
4.658921808520876198e+02 5.000000000000000888e+00 4.221283097670216478e-01
4.920161067059729021e+02 5.000000000000000888e+00 3.058592525479468249e-01
5.196048768523114632e+02 5.000000000000000888e+00 4.650476177858089422e-01
5.487406293592129032e+02 5.000000000000000888e+00 4.484561338056236024e-01
5.795101080145026344e+02 5.000000000000000888e+00 3.788046848044499537e-01
6.120049205817790607e+02 5.000000000000000888e+00 4.316137637997559118e-01
6.463218115376449759e+02 5.000000000000000888e+00 4.635087898738649015e-01
6.825629501021041960e+02 5.000000000000000888e+00 3.418095151582161706e-01
7.208362344196567619e+02 5.000000000000000888e+00 4.464959846719805392e-01
7.612556127967158091e+02 5.000000000000000888e+00 3.884502308842351370e-01
8.039414229517250305e+02 5.000000000000000888e+00 4.284741813237802899e-01
8.490207502880352877e+02 5.000000000000000888e+00 4.934363431972685898e-01
8.966278062561549405e+02 5.000000000000000888e+00 4.741985589986417726e-01
9.469043279318956365e+02 5.000000000000000888e+00 4.475968789894010369e-01
1.000000000000000000e+03 5.000000000000000888e+00 3.933888146368939021e-01
3.999999999999999289e+01 5.371121841671087971e+00 0.000000000000000000e+00
4.224291601598521595e+01 5.371121841671087971e+00 0.000000000000000000e+00
4.461159883833951767e+01 5.371121841671087971e+00 0.000000000000000000e+00
4.711310057666997864e+01 5.371121841671087971e+00 0.000000000000000000e+00
4.975486877282337161e+01 5.371121841671087971e+00 0.000000000000000000e+00
5.254476857391858857e+01 5.371121841671087971e+00 0.000000000000000000e+00
5.549110614868556723e+01 5.371121841671087971e+00 0.000000000000000000e+00
5.860265341682614348e+01 5.371121841671087971e+00 0.000000000000000000e+00
6.188867416502187524e+01 5.371121841671087971e+00 0.000000000000000000e+00
6.535895162734233566e+01 5.371121841671087971e+00 0.000000000000000000e+00
