# mlight/meV nloc/cm-3 sensitivity
4.999999999999999289e+01 1.000000000000000000e+01 0.000000000000000000e+00
5.315224797246956001e+01 1.000000000000000000e+01 1.758859636214670508e-01
5.650322929053792365e+01 1.000000000000000000e+01 0.000000000000000000e+00
6.006547308991954282e+01 1.000000000000000000e+01 0.000000000000000000e+00
6.385229840518206146e+01 1.000000000000000000e+01 0.000000000000000000e+00
6.787786396888719764e+01 1.000000000000000000e+01 0.000000000000000000e+00
7.215722115031702799e+01 1.000000000000000000e+01 0.000000000000000000e+00
7.670637023171951796e+01 1.000000000000000000e+01 0.000000000000000000e+00
8.154232023248832206e+01 1.000000000000000000e+01 0.000000000000000000e+00
8.668315250495481905e+01 1.000000000000000000e+01 0.000000000000000000e+00
9.214808833957515333e+01 1.000000000000000000e+01 0.000000000000000000e+00
9.795756083228259570e+01 1.000000000000000000e+01 0.000000000000000000e+00
1.041332912827151915e+02 1.000000000000000000e+01 0.000000000000000000e+00
1.106983704089656158e+02 1.000000000000000000e+01 0.000000000000000000e+00
1.176773446825125546e+02 1.000000000000000000e+01 0.000000000000000000e+00
1.250963081061337334e+02 1.000000000000000000e+01 2.174160073927534631e-01
1.329829997779534949e+02 1.000000000000000000e+01 3.475335941405912621e-01
1.413669076064129797e+02 1.000000000000000000e+01 4.059963788656035244e-01
1.502793785639451301e+02 1.000000000000000000e+01 4.243482382510347373e-01
1.597537358915887751e+02 1.000000000000000000e+01 4.250859867633581812e-01
1.698254036927629329e+02 1.000000000000000000e+01 4.294633512182448598e-01
1.805320393820497031e+02 1.000000000000000000e+01 4.260993407438134484e-01
1.919136744842069220e+02 1.000000000000000000e+01 4.258047990691103957e-01
2.040128643098476573e+02 1.000000000000000000e+01 4.241341141270305592e-01
2.168748470674161695e+02 1.000000000000000000e+01 4.002595848411941160e-01
2.305477130063743516e+02 1.000000000000000000e+01 4.617852216526875941e-01
2.450825842240111285e+02 1.000000000000000000e+01 5.231084502443389406e-01
2.605338058081659369e+02 1.000000000000000000e+01 4.426396775479879420e-01
2.769591490305376738e+02 1.000000000000000000e+01 4.674264272167041323e-01
2.944200273503058156e+02 1.000000000000000000e+01 4.244025268342676016e-01
3.129817260356945212e+02 1.000000000000000000e+01 4.097853337219604097e-01
3.327136462620157431e+02 1.000000000000000000e+01 4.558552874015667222e-01
3.536895645988636261e+02 1.000000000000000000e+01 4.498875314013106586e-01
3.759879088566718792e+02 1.000000000000000000e+01 4.004407400453383614e-01
3.996920513240021933e+02 1.000000000000000000e+01 3.848771759685855609e-01
4.248906204919679226e+02 1.000000000000000000e+01 4.398547388948797487e-01
4.516778324313112307e+02 1.000000000000000000e+01 3.896311270904956325e-01
4.801538430611321928e+02 1.000000000000000000e+01 3.508676017312651885e-01
5.104251226263906460e+02 1.000000000000000000e+01 3.945457125264392739e-01
5.426048537843225859e+02 1.000000000000000000e+01 4.740577459428081952e-01
5.768133547881981258e+02 1.000000000000000000e+01 3.680736836604540652e-01
6.131785293506874268e+02 1.000000000000000000e+01 4.591067908238830042e-01
6.518363448688389781e+02 1.000000000000000000e+01 4.544928359684899388e-01
6.929313407987343680e+02 1.000000000000000000e+01 4.370364077626447408e-01
7.366171690806029346e+02 1.000000000000000000e+01 5.019423170414415436e-01
7.830571686350157279e+02 1.000000000000000000e+01 4.151710719342626144e-01
8.324249760781654004e+02 1.000000000000000000e+01 4.309045933880071844e-01
8.849051749396747937e+02 1.000000000000000000e+01 4.487836892170089520e-01
9.406939858103031611e+02 1.000000000000000000e+01 5.268839587573550531e-01
1.000000000000000000e+03 1.000000000000000000e+01 3.933888146368939021e-01
4.999999999999999289e+01 1.098541141987558412e+01 0.000000000000000000e+00
5.315224797246956001e+01 1.098541141987558412e+01 0.000000000000000000e+00
5.650322929053792365e+01 1.098541141987558412e+01 0.000000000000000000e+00
6.006547308991954282e+01 1.098541141987558412e+01 0.000000000000000000e+00
6.385229840518206146e+01 1.098541141987558412e+01 0.000000000000000000e+00
6.787786396888719764e+01 1.098541141987558412e+01 0.000000000000000000e+00
7.215722115031702799e+01 1.098541141987558412e+01 0.000000000000000000e+00
7.670637023171951796e+01 1.098541141987558412e+01 0.000000000000000000e+00
8.154232023248832206e+01 1.098541141987558412e+01 0.000000000000000000e+00
8.668315250495481905e+01 1.098541141987558412e+01 0.000000000000000000e+00
9.214808833957515333e+01 1.098541141987558412e+01 0.000000000000000000e+00
9.795756083228259570e+01 1.098541141987558412e+01 0.000000000000000000e+00
1.041332912827151915e+02 1.098541141987558412e+01 0.000000000000000000e+00
1.106983704089656158e+02 1.098541141987558412e+01 0.000000000000000000e+00
1.176773446825125546e+02 1.098541141987558412e+01 1.417888970675487414e-01
1.250963081061337334e+02 1.098541141987558412e+01 2.329557750290826568e-01
1.329829997779534949e+02 1.098541141987558412e+01 4.167906938428413421e-01
1.413669076064129797e+02 1.098541141987558412e+01 5.237503896588834307e-01
1.502793785639451301e+02 1.098541141987558412e+01 4.689569297697642192e-01
1.597537358915887751e+02 1.098541141987558412e+01 4.573861392994005293e-01
1.698254036927629329e+02 1.098541141987558412e+01 5.012789561756612056e-01
1.805320393820497031e+02 1.098541141987558412e+01 4.759364643376430837e-01
1.919136744842069220e+02 1.098541141987558412e+01 4.394282954834460853e-01
2.040128643098476573e+02 1.098541141987558412e+01 4.945965727466280493e-01
2.168748470674161695e+02 1.098541141987558412e+01 4.698208363033910540e-01
2.305477130063743516e+02 1.098541141987558412e+01 4.703935470445503864e-01
2.450825842240111285e+02 1.098541141987558412e+01 5.771699040619007182e-01
2.605338058081659369e+02 1.098541141987558412e+01 4.613747212512876450e-01
2.769591490305376738e+02 1.098541141987558412e+01 5.187100273532607719e-01
2.944200273503058156e+02 1.098541141987558412e+01 4.491126245392603744e-01
3.129817260356945212e+02 1.098541141987558412e+01 4.722360976220649764e-01
3.327136462620157431e+02 1.098541141987558412e+01 5.127457463670874738e-01
3.536895645988636261e+02 1.098541141987558412e+01 5.065932714690997152e-01
3.759879088566718792e+02 1.098541141987558412e+01 4.553086983218359585e-01
3.996920513240021933e+02 1.098541141987558412e+01 4.649069576048066588e-01
4.248906204919679226e+02 1.098541141987558412e+01 4.922427159412623432e-01
4.516778324313112307e+02 1.098541141987558412e+01 4.673204072675287146e-01
4.801538430611321928e+02 1.098541141987558412e+01 4.091478969417690625e-01
5.104251226263906460e+02 1.098541141987558412e+01 4.517623679930270475e-01
5.426048537843225859e+02 1.098541141987558412e+01 5.194894697532514982e-01
5.768133547881981258e+02 1.098541141987558412e+01 4.677194407073700932e-01
6.131785293506874268e+02 1.098541141987558412e+01 4.960382932088505670e-01
6.518363448688389781e+02 1.098541141987558412e+01 5.104523685789404963e-01
6.929313407987343680e+02 1.098541141987558412e+01 4.983040370699784449e-01
7.366171690806029346e+02 1.098541141987558412e+01 5.150152682001821747e-01
7.830571686350157279e+02 1.098541141987558412e+01 4.637785831160191607e-01
8.324249760781654004e+02 1.098541141987558412e+01 4.758887605336350468e-01
8.849051749396747937e+02 1.098541141987558412e+01 4.987839709283850564e-01
9.406939858103031611e+02 1.098541141987558412e+01 5.648914661305958207e-01
1.000000000000000000e+03 1.098541141987558412e+01 4.443489295641915304e-01
4.999999999999999289e+01 1.206792640639328873e+01 0.000000000000000000e+00
5.315224797246956001e+01 1.206792640639328873e+01 2.251362497939916330e-01
5.650322929053792365e+01 1.206792640639328873e+01 0.000000000000000000e+00
6.006547308991954282e+01 1.206792640639328873e+01 0.000000000000000000e+00
6.385229840518206146e+01 1.206792640639328873e+01 0.000000000000000000e+00
6.787786396888719764e+01 1.206792640639328873e+01 0.000000000000000000e+00
7.215722115031702799e+01 1.206792640639328873e+01 0.000000000000000000e+00
7.670637023171951796e+01 1.206792640639328873e+01 0.000000000000000000e+00
8.154232023248832206e+01 1.206792640639328873e+01 0.000000000000000000e+00
8.668315250495481905e+01 1.206792640639328873e+01 0.000000000000000000e+00
9.214808833957515333e+01 1.206792640639328873e+01 0.000000000000000000e+00
9.795756083228259570e+01 1.206792640639328873e+01 0.000000000000000000e+00
1.041332912827151915e+02 1.206792640639328873e+01 0.000000000000000000e+00
1.106983704089656158e+02 1.206792640639328873e+01 4.655291178656798673e-02
1.176773446825125546e+02 1.206792640639328873e+01 0.000000000000000000e+00
1.250963081061337334e+02 1.206792640639328873e+01 2.700710054907799473e-01
1.329829997779534949e+02 1.206792640639328873e+01 4.563316839442388972e-01
1.413669076064129797e+02 1.206792640639328873e+01 5.151069576297078179e-01
1.502793785639451301e+02 1.206792640639328873e+01 5.582847405489278492e-01
1.597537358915887751e+02 1.206792640639328873e+01 5.290976881755335981e-01
1.698254036927629329e+02 1.206792640639328873e+01 5.080782485015379324e-01
1.805320393820497031e+02 1.206792640639328873e+01 5.317448907132995561e-01
1.919136744842069220e+02 1.206792640639328873e+01 5.296667598424965595e-01
2.040128643098476573e+02 1.206792640639328873e+01 5.628217349511529521e-01
2.168748470674161695e+02 1.206792640639328873e+01 5.298768178910147064e-01
2.305477130063743516e+02 1.206792640639328873e+01 5.683584871048475984e-01
2.450825842240111285e+02 1.206792640639328873e+01 6.125167073256070349e-01
2.605338058081659369e+02 1.206792640639328873e+01 5.016388586233027080e-01
2.769591490305376738e+02 1.206792640639328873e+01 5.798335504828260323e-01
2.944200273503058156e+02 1.206792640639328873e+01 5.029630225250754094e-01
3.129817260356945212e+02 1.206792640639328873e+01 5.465304892805906700e-01
3.327136462620157431e+02 1.206792640639328873e+01 5.652493452820060993e-01
3.536895645988636261e+02 1.206792640639328873e+01 5.566730176058233281e-01
3.759879088566718792e+02 1.206792640639328873e+01 5.141667002662683172e-01
3.996920513240021933e+02 1.206792640639328873e+01 5.094259015624345022e-01
4.248906204919679226e+02 1.206792640639328873e+01 5.604205491536035089e-01
4.516778324313112307e+02 1.206792640639328873e+01 5.222841352738633036e-01
4.801538430611321928e+02 1.206792640639328873e+01 4.755136954069232869e-01
5.104251226263906460e+02 1.206792640639328873e+01 5.228231195627036643e-01
5.426048537843225859e+02 1.206792640639328873e+01 6.049064391738452340e-01
5.768133547881981258e+02 1.206792640639328873e+01 5.289091851980095571e-01
6.131785293506874268e+02 1.206792640639328873e+01 5.930568213013053258e-01
6.518363448688389781e+02 1.206792640639328873e+01 5.706130436301399822e-01
6.929313407987343680e+02 1.206792640639328873e+01 5.411471005494616904e-01
7.366171690806029346e+02 1.206792640639328873e+01 6.041139956596258687e-01
7.830571686350157279e+02 1.206792640639328873e+01 5.081362743469165499e-01
8.324249760781654004e+02 1.206792640639328873e+01 5.420642024006981918e-01
8.849051749396747937e+02 1.206792640639328873e+01 5.475381778033497904e-01
9.406939858103031611e+02 1.206792640639328873e+01 6.149071813478078630e-01
1.000000000000000000e+03 1.206792640639328873e+01 5.085935642476606677e-01
4.999999999999999289e+01 1.325711365590108848e+01 0.000000000000000000e+00
5.315224797246956001e+01 1.325711365590108848e+01 1.710010876270877112e-01
5.650322929053792365e+01 1.325711365590108848e+01 0.000000000000000000e+00
6.006547308991954282e+01 1.325711365590108848e+01 0.000000000000000000e+00
6.385229840518206146e+01 1.325711365590108848e+01 0.000000000000000000e+00
6.787786396888719764e+01 1.325711365590108848e+01 0.000000000000000000e+00
7.215722115031702799e+01 1.325711365590108848e+01 0.000000000000000000e+00
7.670637023171951796e+01 1.325711365590108848e+01 0.000000000000000000e+00
8.154232023248832206e+01 1.325711365590108848e+01 0.000000000000000000e+00
8.668315250495481905e+01 1.325711365590108848e+01 0.000000000000000000e+00
9.214808833957515333e+01 1.325711365590108848e+01 0.000000000000000000e+00
9.795756083228259570e+01 1.325711365590108848e+01 0.000000000000000000e+00
1.041332912827151915e+02 1.325711365590108848e+01 0.000000000000000000e+00
1.106983704089656158e+02 1.325711365590108848e+01 0.000000000000000000e+00
1.176773446825125546e+02 1.325711365590108848e+01 0.000000000000000000e+00
1.250963081061337334e+02 1.325711365590108848e+01 3.415703425745053590e-01
1.329829997779534949e+02 1.325711365590108848e+01 5.267714978334840925e-01
1.413669076064129797e+02 1.325711365590108848e+01 5.966697451451344891e-01
1.502793785639451301e+02 1.325711365590108848e+01 6.234829821645599957e-01
1.597537358915887751e+02 1.325711365590108848e+01 5.999219407520323122e-01
1.698254036927629329e+02 1.325711365590108848e+01 5.965817764987217942e-01
