# mncdm MFD HEDR HELT HE LTDR
0.000000000000000000e+00 4.775981574503821087e-05 2.122729375120625261e-01 3.095894055034829548e-02 3.011003155096321215e-01 9.082708847034566546e-02
2.020202020202020200e-03 3.583129916706900305e-05 1.788597215697262655e-01 2.528280047779517606e-02 3.079246661116968875e-01 1.410182966852173980e-01
4.040404040404040401e-03 3.530974369773873098e-05 1.586303880093596630e-01 2.961678578103977763e-02 3.238891785781056187e-01 3.811110074505851819e-01
6.060606060606060601e-03 3.179336408749473694e-05 1.957498403575338719e-01 4.346239754086283352e-02 3.445315660429389415e-01 6.340110409133267177e-01
8.080808080808080801e-03 3.400032352787249462e-05 2.534079714610414369e-01 5.101097921036215621e-02 3.634446312713945915e-01 8.792735638013916555e-01
1.010101010101010013e-02 2.959094456079426846e-05 3.290106381258818824e-01 5.634554108356756158e-02 3.828469668157238881e-01 1.117744156772917385e+00
1.212121212121212120e-02 2.998399573105626020e-05 4.158910915131508457e-01 7.051808278732484003e-02 4.068559941797588730e-01 1.344562382338580830e+00
1.414141414141414227e-02 3.841681923324730667e-05 5.074327541655150320e-01 7.916931223649728566e-02 4.216607641220605496e-01 1.558069318098524114e+00
1.616161616161616160e-02 3.547895150649184445e-05 5.994330654877155773e-01 9.593466526756634638e-02 4.466360934810351679e-01 1.765548073545435859e+00
1.818181818181818094e-02 2.674804665765333908e-05 6.833988586469836868e-01 1.025065851543206924e-01 4.607884547164783351e-01 1.961397460995603526e+00
2.020202020202020027e-02 1.803302525922924630e-05 7.652359113371509647e-01 1.175080422779649636e-01 4.828954338156450365e-01 2.146042870028462612e+00
2.222222222222222307e-02 3.151199771515604748e-05 8.473488065725943708e-01 1.291571910502856968e-01 5.018545606049625851e-01 2.325304281164080500e+00
2.424242424242424240e-02 2.633100833618036776e-05 9.312743956536119194e-01 1.426590340637423626e-01 5.236907484384271116e-01 2.501743392116785536e+00
2.626262626262626174e-02 1.153407993729885587e-05 1.009120409069205193e+00 1.498892924794829884e-01 5.371294071264390846e-01 2.660796873119028572e+00
2.828282828282828454e-02 1.360868840116489656e-05 1.088818625850972444e+00 1.648374957344353742e-01 5.603837970534123469e-01 2.825331838917333194e+00
3.030303030303030387e-02 2.969656545797847038e-05 1.164361627674151745e+00 1.736306424569119544e-01 5.771637549257576660e-01 2.981378875621144342e+00
3.232323232323232320e-02 1.273005106038463620e-05 1.234714541908371599e+00 1.864660827067485815e-01 5.974646433053590888e-01 3.129424867287917689e+00
3.434343434343434254e-02 0.000000000000000000e+00 1.304459274948819525e+00 2.006982810090808811e-01 6.171353174142604203e-01 3.277682107831691560e+00
3.636363636363636187e-02 4.623505163834036645e-05 1.377547095383675035e+00 2.111317124450990679e-01 6.396092557178952864e-01 3.418836059245895065e+00
3.838383838383838120e-02 3.812629014210535604e-05 1.450337891665249179e+00 2.235124157625253682e-01 6.584375444945405054e-01 3.566923043745126698e+00
4.040404040404040054e-02 3.653124689905888926e-05 1.516073876827907174e+00 2.354034834066819903e-01 6.805336141587716714e-01 3.704516162739744267e+00
4.242424242424242681e-02 2.836832740927811537e-05 1.580803593113325523e+00 2.494542042139198113e-01 7.039417589545317044e-01 3.845953717870250088e+00
4.444444444444444614e-02 2.588628980754097771e-05 1.644116784173192514e+00 2.612351431182259320e-01 7.207940066343504482e-01 3.975308793037340749e+00
4.646464646464646547e-02 0.000000000000000000e+00 1.707337107896387263e+00 2.727335696242763619e-01 7.414566743917003766e-01 4.108135830276307132e+00
4.848484848484848481e-02 2.902743529835179908e-05 1.774316769914549452e+00 2.865222504448825536e-01 7.640157066448307610e-01 4.257924376970544600e+00
5.050505050505050414e-02 3.566076275123682626e-05 1.834071972415477481e+00 2.994715345404300733e-01 7.839706627164054753e-01 4.391400687707738726e+00
5.252525252525252347e-02 2.878972038766615095e-05 1.911978033346617645e+00 3.108079793055512630e-01 8.049037209505245372e-01 4.539317129260743933e+00
5.454545454545454281e-02 2.940598578521046711e-05 1.951491737107795332e+00 3.244558521586565769e-01 8.279359878637961856e-01 4.660901200411783130e+00
5.656565656565656908e-02 2.159374909551372922e-05 2.007197050615609157e+00 3.381307439438182572e-01 8.474420334158555557e-01 4.796978215501921383e+00
5.858585858585858841e-02 1.887739388792849152e-05 2.068008704043577950e+00 3.500759917503626917e-01 8.696643030503207195e-01 4.938765027818189601e+00
6.060606060606060774e-02 3.075626765392705899e-05 2.132069417256389432e+00 3.638200104447252836e-01 8.928012096765998162e-01 5.083581414711482616e+00
6.262626262626262708e-02 3.237446524654885886e-05 2.182228219045844853e+00 3.769031705889457906e-01 9.140634551277061481e-01 5.225169853698537814e+00
6.464646464646464641e-02 2.074777096461207694e-05 2.238544169767485048e+00 3.901253644663468800e-01 9.368873998512308177e-01 5.371833951268412122e+00
6.666666666666666574e-02 3.046873807692074496e-05 2.297237471399071751e+00 4.038950358694694542e-01 9.589817516511980333e-01 5.526626457433142292e+00
6.868686868686868507e-02 3.637378176654167833e-05 2.354947982440376286e+00 4.169328483101325533e-01 9.825019083950931043e-01 5.663338238177197503e+00
7.070707070707070441e-02 3.432360703655721386e-05 2.414638689328074239e+00 4.309580025942202908e-01 1.004650187876357403e+00 5.833249523207454601e+00
7.272727272727272374e-02 2.964287435455610541e-05 2.466280600418370827e+00 4.456162025779583091e-01 1.028842067569167851e+00 5.990575932245580049e+00
7.474747474747474307e-02 4.226752890813466980e-05 2.522205384182659937e+00 4.586392918187450762e-01 1.052589188620137728e+00 6.154283061413408973e+00
7.676767676767676241e-02 3.229767793510858291e-05 2.576691677325791296e+00 4.730792745407475519e-01 1.076263908156359195e+00 6.299984126964130127e+00
7.878787878787878174e-02 3.292953081961539112e-05 2.630961801319053883e+00 4.876207542752871715e-01 1.099269757611842868e+00 6.463435618925897685e+00
8.080808080808080107e-02 3.147929478244390562e-05 2.697443233879074587e+00 5.012843504439371545e-01 1.125187984294180099e+00 6.646307245380700834e+00
8.282828282828283428e-02 3.116501243381750906e-05 2.744492667142690578e+00 5.159515481128048586e-01 1.147222733387026183e+00 6.810697467954365258e+00
8.484848484848485362e-02 0.000000000000000000e+00 2.801692345708215015e+00 5.308050489586548792e-01 1.172494776107765757e+00 6.980730620787483076e+00
8.686868686868687295e-02 3.082421126322618690e-05 2.855706567559069153e+00 5.444924241897218797e-01 1.197195890403905505e+00 7.149699294375952974e+00
8.888888888888889228e-02 2.746182805277172317e-05 2.910714688869385114e+00 5.589096528062473812e-01 1.221761024095956216e+00 7.338146905043534396e+00
9.090909090909091161e-02 3.745706875878036427e-05 2.981788054171523150e+00 5.721800415953006702e-01 1.246398812579665449e+00 7.523031303935933778e+00
9.292929292929293095e-02 2.708859538625064904e-05 3.030923951536890648e+00 5.882244469588118196e-01 1.271882070004919818e+00 7.717706913326004781e+00
9.494949494949495028e-02 3.456223372410990250e-05 3.090928663039637314e+00 6.036638137241622237e-01 1.296984194198217644e+00 7.901189783823699742e+00
9.696969696969696961e-02 2.025601145339328804e-05 3.147751578508062753e+00 6.197451088955845400e-01 1.324254507260594460e+00 8.079826730815458546e+00
9.898989898989898895e-02 1.947516367068580196e-05 3.201624587611733297e+00 6.343705541716134766e-01 1.348701597834005783e+00 8.272520776643597529e+00
1.010101010101010083e-01 2.176717712520390166e-05 3.268651097930153959e+00 6.460913248140699450e-01 1.372832837602597555e+00 8.491336761664797450e+00
1.030303030303030276e-01 2.554306168022933013e-05 3.326183999721001427e+00 6.647375421924054395e-01 1.403571872046458502e+00 8.670409448232534899e+00
1.050505050505050469e-01 0.000000000000000000e+00 3.388920182004881543e+00 6.797440694849790077e-01 1.427900556761569462e+00 8.875223940836647785e+00
1.070707070707070663e-01 8.181931312349181331e-06 3.450753540895089788e+00 6.955788955970415577e-01 1.453072606582341386e+00 9.087375858849462418e+00
1.090909090909090856e-01 3.302777618914116639e-05 3.512990179320175876e+00 7.119311764489598682e-01 1.482113355988670778e+00 9.297978274872447102e+00
1.111111111111111049e-01 2.596513046375850602e-05 3.581656041553962666e+00 7.223517148868686677e-01 1.503815148214699970e+00 9.509963196563907317e+00
1.131313131313131382e-01 2.771299334247384995e-05 3.642850532206887149e+00 7.424015086191567692e-01 1.531861612548600871e+00 9.723322477425091037e+00
1.151515151515151575e-01 3.738127873682225874e-05 3.707573330360439456e+00 7.581240004115421538e-01 1.561480067115811776e+00 9.941589410149667572e+00
1.171717171717171768e-01 2.095595380792771159e-05 3.768060509068292596e+00 7.743371358781651059e-01 1.587368892223858685e+00 1.015001477831436461e+01
1.191919191919191962e-01 3.317306136008553983e-05 3.822512262897268975e+00 7.903429635291251421e-01 1.615413259819294733e+00 1.036507597656669333e+01
1.212121212121212155e-01 3.594434586969138065e-05 3.909647042892746782e+00 8.014337152877959447e-01 1.639231527271239441e+00 1.061049480467334227e+01
1.232323232323232348e-01 2.888847521071335518e-05 3.971105639491349315e+00 8.228316960351004239e-01 1.667705009886340850e+00 1.081778165799254765e+01
1.252525252525252542e-01 3.950987218405040271e-05 4.046057340176977490e+00 8.374055170584917551e-01 1.697704332326450904e+00 1.104814916626309795e+01
1.272727272727272596e-01 4.550186809351897441e-05 4.117652243694214675e+00 8.558878431196461634e-01 1.726325577635922093e+00 1.128701023300679118e+01
1.292929292929292928e-01 4.645557017193955083e-05 4.168138673316904352e+00 8.728241518198267546e-01 1.754502778567192722e+00 1.149393753245596805e+01
1.313131313131313260e-01 3.093451147181736544e-05 4.257377126823509883e+00 8.821859214474010447e-01 1.778043868975116126e+00 1.175446298220382246e+01
1.333333333333333315e-01 2.660778081689640088e-05 4.329528842726422688e+00 9.039612823567169109e-01 1.808192467631695388e+00 1.198876140391491774e+01
1.353535353535353647e-01 1.446699692403368142e-05 4.404683870608650409e+00 9.218893642948702283e-01 1.839287905685240920e+00 1.221176481922248591e+01
