# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.558505337712e-26       4.634785000235e-09       2.157545459823e+22       1.415027915038e+04       1.415027915038e-10       1.415027915038e+18       2.675958768613e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       6.248974318963e+43       2.082991439654e+43       3.449766788309e-08       1.278544443680e+44       4.655002411204e+44       4.655002411204e+44       1.551667470349e+44      -1.339117242323e+53       5.580681528318e-20       2.000000000000e+14 
       9.930486593843e+13       7.664694779201e-26       4.667526809499e-09       2.127654048102e+22       1.415027915038e+04       1.424933110443e-10       1.405191574020e+18       2.694690479994e-09       2.675846458098e+44       2.438847228596e+33       1.308700625072e+34       6.077022686797e+43       2.025674228932e+43       3.449766788309e-08       1.243363021471e+44       4.526911748404e+44       4.526911748404e+44       1.508970582750e+44      -1.293216536174e+53       7.785735745515e-08       1.433565615564e+02 
       9.861456399050e+13       7.772376076154e-26       4.700268618762e-09       2.098176762762e+22       1.415027915038e+04       1.434907642217e-10       1.395423608759e+18       2.713553313353e-09       2.602215788102e+44       2.388340179617e+33       1.281598227761e+34       5.909802609330e+43       1.969934203110e+43       3.449766788309e-08       1.209149678608e+44       4.402345727795e+44       4.402345727795e+44       1.467448575881e+44      -1.248889161142e+53       1.557147149102e-07       7.167828077820e+01 
       9.792906056653e+13       7.881570187648e-26       4.733010428026e-09       2.069107866348e+22       1.415027915038e+04       1.444951995712e-10       1.385723543951e+18       2.732548186547e-09       2.530611196824e+44       2.338879101032e+33       1.255057104684e+34       5.747183889427e+43       1.915727963142e+43       3.449766788309e-08       1.175877776667e+44       4.281207362583e+44       4.281207362583e+44       1.427069120811e+44      -1.206081188408e+53       2.335720723653e-07       4.778552051880e+01 
       9.724832231036e+13       7.992298367214e-26       4.765752237290e-09       2.040441700892e+22       1.415027915038e+04       1.455066659682e-10       1.376090907598e+18       2.751676023853e-09       2.460976933110e+44       2.290442331427e+33       1.229065632190e+34       5.589039912559e+43       1.863013304186e+43       3.449766788309e-08       1.143521410229e+44       4.163402334741e+44       4.163402334741e+44       1.387800778198e+44      -1.164740537664e+53       3.114294298204e-07       3.583914038910e+01 
       9.657231609767e+13       8.104582166975e-26       4.800313035958e-09       2.012172686816e+22       1.415027915038e+04       1.465252126300e-10       1.366525230981e+18       2.770937756020e-09       2.393258779894e+44       2.243008657985e+33       1.203612427350e+34       5.435247548220e+43       1.811749182740e+43       3.449766788309e-08       1.112055386708e+44       4.048838921567e+44       4.048838921567e+44       1.349612973808e+44      -1.124816913751e+53       3.892867872754e-07       2.867131231128e+01 
       9.590100903443e+13       8.218443441839e-26       4.833054845221e-09       1.984295321839e+22       1.415027915038e+04       1.475508891184e-10       1.357026048641e+18       2.790334320312e-09       2.327404011992e+44       2.196557307191e+33       1.178686342966e+34       5.285687054059e+43       1.761895684686e+43       3.449766788309e-08       1.081455206735e+44       3.937427924273e+44       3.937427924273e+44       1.312475974711e+44      -1.086261745467e+53       4.671441447305e-07       2.389276025940e+01 
       9.523436845525e+13       8.333904353753e-26       4.867615643889e-09       1.956804179916e+22       1.415027915038e+04       1.485837453422e-10       1.347592898352e+18       2.809866660554e-09       2.263361355047e+44       2.151067935737e+33       1.154276462693e+34       5.140241982648e+43       1.713413994216e+43       3.449766788309e-08       1.051697045088e+44       3.829082598536e+44       3.829082598536e+44       1.276360866133e+44      -1.049028126481e+53       5.450015021855e-07       2.047950879377e+01 
       9.457236192179e+13       8.450987376019e-26       4.900357453153e-09       1.929693910172e+22       1.415027915038e+04       1.496238315596e-10       1.338225321104e+18       2.829535727177e-09       2.201080945604e+44       2.106520621616e+33       1.130372096256e+34       4.998799090818e+43       1.666266363606e+43       3.449766788309e-08       1.022757732136e+44       3.723718586955e+44       3.723718586955e+44       1.241239528940e+44      -1.013070758259e+53       6.228588596405e-07       1.791957019455e+01 
       9.391495722125e+13       8.569715297665e-26       4.934918251820e-09       1.902959235868e+22       1.415027915038e+04       1.506711983805e-10       1.328922861077e+18       2.849342477268e-09       2.140514292293e+44       2.062895855388e+33       1.106962774769e+34       4.861248251486e+43       1.620416083829e+43       3.449766788309e-08       9.946147358015e+43       3.621253853374e+44       3.621253853374e+44       1.207084617748e+44      -9.783458949591e+52       7.007162170955e-07       1.592850683960e+01 
