# mncdm MFD HEDR HELT HE LTDR
0.000000000000000000e+00 3.272806135413461841e-05 6.833739825307955096e-02 1.072107270752325342e-02 1.002881847477558042e-01 3.548227726626350387e-02
2.020202020202020200e-03 2.961239605300455745e-05 6.794747971779380169e-02 1.181901011083415567e-02 9.735645844010555605e-02 4.227578503114992614e-02
4.040404040404040401e-03 2.761782033398001547e-05 7.033562397533699162e-02 1.445067472473171404e-02 9.504967122510209199e-02 4.386613728150678959e-02
6.060606060606060601e-03 3.144194650462976535e-05 7.589400503333580683e-02 1.289781376823219590e-02 1.004503857633209929e-01 5.887597132956703949e-02
8.080808080808080801e-03 2.601414999572348205e-05 7.806343574299046129e-02 1.178068758604522252e-02 9.860202837670227483e-02 7.447321666209939794e-02
1.010101010101010013e-02 2.465128799880444293e-05 7.153488659388508586e-02 1.338662765598565632e-02 9.785642544054018455e-02 8.801079479245713100e-02
1.212121212121212120e-02 2.789096627942459690e-05 7.561626809093398294e-02 1.193813218221343071e-02 9.868920913656163696e-02 1.048505603227755795e-01
1.414141414141414227e-02 2.778449207741613762e-05 8.408210273298355464e-02 1.259009134200383788e-02 9.820784082750215471e-02 1.230751802761222841e-01
1.616161616161616160e-02 2.552583005506383062e-05 9.791230770439433850e-02 1.409301245298534393e-02 9.820050916364944649e-02 1.427494308219826036e-01
1.818181818181818094e-02 2.628071536317076834e-05 1.007786683777871645e-01 1.385304298701191435e-02 9.529879327672517719e-02 1.631293964924777073e-01
2.020202020202020027e-02 2.368556522441463694e-05 9.603134904811032324e-02 1.560602447774576615e-02 9.398574359976091808e-02 1.862337241210624550e-01
2.222222222222222307e-02 2.478459198776530157e-05 1.011336739172467719e-01 1.798477133577182710e-02 9.273381260360213929e-02 2.109032953749181982e-01
2.424242424242424240e-02 2.726151133007852760e-05 1.082292936316226750e-01 1.655971014239077804e-02 9.267923176202962077e-02 2.447892971516524296e-01
2.626262626262626174e-02 2.780215818960823172e-05 1.111761665106330288e-01 1.941890831123109160e-02 8.758070563771451489e-02 2.625063808748275274e-01
